  ATCFID NAME            YEAR MMDDHH  FHOUR  VMAX0      NCI    VMAXN     OFDV     OBDV     DSDV     LGDV     HWDV     AVDV     VMXC     DV12     SLAT     SSTN     SHDC     DTL      D200     T200     RHMD     SPDX     SPDY     LON0     LAT0      NCT     LONN     LATN     OFDX     OBDX     AVDX     EMDX     EGDX     HWDX     LONC     OFDY     OBDY     AVDY     EMDY     EGDY     HWDY     LATC     ESGX     ESGY     ERXY     ESRD     ENUM
AL022013 BARRY           2013 061900   12    25.00     3.00    30.00     5.00     8.33    -0.67    -1.67     0.00     2.33    26.67     0.00    19.00    28.87    18.83    63.00    18.00   -52.73    65.33    -8.04     2.50   267.80    18.80     3.00   265.80    19.20    20.97    -6.99   -17.48     3.49    13.97     0.00   266.07    33.33    18.52    -3.70    -3.70     7.41     0.00    19.33    20.67    42.75    -0.34    41.82    19.00
AL022013 BARRY           2013 061906   12    30.00     4.00    30.00    10.00     8.25     0.25     0.25     2.25    -2.75    31.75     5.00    19.30    28.77    20.00    95.33    28.33   -52.73    65.67    -6.61     1.33   266.90    19.20     3.00   265.60    19.40   -41.89   -87.29   -55.83     0.00    80.48   -24.46   266.03    22.22    29.63    51.85     0.00   -48.14    -3.70    19.33    26.89    39.96    -0.15    41.63    20.00
AL022013 BARRY           2013 061912   12    30.00     4.00    35.00     5.00     8.00     0.00     1.00     1.00    -2.00    32.00     5.00    19.47    28.93    15.40   104.67    40.33   -52.57    65.33    -5.97     1.00   266.00    19.50     4.00   264.90    19.50   -31.41  -102.21   -39.32   -39.36   139.49   -60.32   265.58    11.11    58.33    47.22    13.89   -97.21    36.11    19.08    21.14    40.14     0.16    36.50    20.00
AL022013 BARRY           2013 061918   12    35.00     4.00    40.00     0.00     2.25     1.25     1.25    -0.75    -1.75    37.75     5.00    19.60    28.57    13.47    58.00    48.67   -52.40    66.33    -5.81     0.67   265.20    19.60     4.00   263.80    19.60    31.40   -99.57   -89.09   -99.76   321.23  -130.90   265.05     0.00    52.77    52.77   -13.89  -124.99    86.10    19.12    31.10    62.45    -0.62    60.76    19.00
AL022013 BARRY           2013 062000   12    40.00     4.00    40.00     0.00     1.00    -1.00     0.00    -2.00     3.00    39.00    10.00    19.60    28.00    12.47    21.33    51.67   -52.50    66.33    -4.71     0.00   264.60    19.60     3.00   263.50    19.60     0.00  -223.76  -213.34     0.00   429.82  -212.88   265.63     0.00    77.77    66.66     0.00  -211.09   144.43    18.90    25.73    43.48     0.11    46.23    20.00
AL022013 BARRY           2013 062006   12    40.00     4.00    30.00     0.00    -3.75    -0.75    -0.75    -3.75     5.25    33.75     5.00    19.60    27.57    10.57   -19.33    41.67   -52.60    65.00    -4.24     0.00   264.10    19.60     2.00   263.00    19.60     0.00    31.38   -10.45     0.00     0.00    10.45   262.70     0.00   -22.22     0.00     0.00     0.00     0.00    19.80    24.77    38.17     0.03    40.03    19.00
AL032013 CHANTAL         2013 070806   12    35.00     4.00    40.00     5.00     6.75     0.75    -1.25     0.75    -0.25    38.25     0.00    10.70    28.17     9.27   670.67    -4.67   -54.53    60.33   -23.41     5.67   311.60    10.10     3.00   307.00    11.40    10.89    18.16   -14.52   -14.53     0.00    29.06   306.93     0.00    14.81    25.92   -18.52     0.00    -7.41    11.27    54.20    51.23     0.08    64.42    16.00
AL032013 CHANTAL         2013 070812   12    40.00     4.00    45.00     5.00     4.75    -0.25    -0.25     2.75    -2.25    45.25     5.00    11.30    28.50    10.47   633.67     4.33   -54.37    59.67   -22.55     6.67   309.40    10.70     3.00   305.00    12.00   -21.73   -10.87   -32.60     0.00     0.00    32.61   304.90    11.11    14.81     3.70    -7.41     0.00     3.70    11.97    42.16    32.92    -0.34    47.76    20.00
AL032013 CHANTAL         2013 070818   12    40.00     4.00    45.00     5.00     3.75    -0.25    -1.25    -1.25     2.75    46.25     5.00    12.17    28.63    10.80   583.33    22.33   -54.30    57.33   -21.99     7.33   307.10    11.40     3.00   302.70    13.00   -43.30   -43.30     0.00   -10.82     0.00    10.83   302.70     0.00    -3.70    18.52     7.41     0.00   -25.92    13.03    31.71    26.02    -0.25    34.41    20.00
AL032013 CHANTAL         2013 070900   12    45.00     4.00    50.00     5.00     4.25    -1.75    -1.75     1.25     2.25    50.75     5.00    12.80    28.57    14.77   484.33    26.67   -54.47    55.33   -21.61     7.67   304.80    12.10     3.00   300.60    13.70   -97.10   -86.31     0.00   -10.79     0.00    10.80   300.50    22.22    22.22    11.11    22.22     0.00   -33.33    13.70    29.16    25.84     0.15    30.86    20.00
AL032013 CHANTAL         2013 070906   12    45.00     4.00    50.00     5.00     6.50    -0.50    -1.50     1.50     0.50    48.50     5.00    13.77    28.33    20.57   420.00    33.67   -54.53    56.00   -21.20     8.50   302.30    13.00     3.00   298.30    14.60  -128.95  -114.59     3.58   -17.90     0.00    14.33   298.17    22.22     7.41    -3.70    18.52     0.00   -14.81    14.73    35.39    14.42     0.54    27.66    20.00
AL032013 CHANTAL         2013 070912   12    45.00     4.00    55.00   -10.00    -2.75    -1.75    -2.75     6.25    -1.75    47.75     0.00    14.77    28.40    19.83   367.67    30.00   -54.37    55.33   -20.79     8.67   299.70    13.90     3.00   295.00    15.80   -64.17   -96.29    10.69   -21.39     0.00    10.69   295.30   -22.22   -11.11     0.00     0.00     0.00     0.00    15.70    25.74    35.70    -0.04    37.90    20.00
AL032013 CHANTAL         2013 070918   12    55.00     4.00    55.00   -15.00   -15.75     3.25     4.25    -3.75    -3.75    55.75    10.00    15.70    28.40    20.43   294.33    32.67   -54.33    52.67   -19.58     9.00   297.10    14.80     4.00   293.10    16.50  -159.91  -141.32    18.67   -13.32   -23.99    18.65   292.93   -33.33   -13.89   -25.00    19.44    -2.78     8.33    16.32    13.86    12.17     0.33    15.10    20.00
AL032013 CHANTAL         2013 071000   12    50.00     4.00    50.00   -10.00    -8.25     1.75     0.75    -0.25    -2.25    48.25     0.00    15.90    28.27    23.07   237.67    51.00   -54.40    55.67   -18.75     7.83   294.40    15.60     4.00   290.70    16.70  -202.19  -202.24    42.59   -21.28   -31.94    10.65   290.70     0.00    11.11     0.00    22.22     0.00   -22.22    16.60    30.55    30.03     0.28    37.89    20.00
AL042013 DORIAN          2013 072412   12    35.00     4.00    50.00    -5.00    -0.25    -5.25    -5.25     7.75     2.75    45.25     5.00    14.47    25.67     4.37  1431.33    16.33   -53.90    72.33   -17.43     4.50   331.00    13.90     3.00   327.40    15.00    21.47    10.73     0.00   -42.89     0.00    42.90   327.50   -11.11   -29.63     3.70     3.70     0.00    -7.41    15.17    58.10    21.41    -0.61    48.56    20.00
AL042013 DORIAN          2013 072418   12    45.00     4.00    45.00     5.00    -2.50     0.50     1.50     1.50    -3.50    52.50    10.00    14.87    25.57     4.40  1601.00    42.33   -54.23    72.67   -17.07     4.33   329.20    14.40     4.00   326.00    15.30    10.72    -5.36    26.77    -5.36   -58.90    37.47   326.15     0.00    -8.33    13.89   -52.77    13.89    25.00    15.38    48.63    29.48    -0.28    51.41    20.00
AL042013 DORIAN          2013 072500   12    50.00     4.00    50.00     0.00    -2.25     0.75     1.75    -1.25    -1.25    52.25     5.00    15.30    25.60     3.60  1787.67    25.67   -54.23    69.00   -16.72     4.00   327.60    14.90     4.00   324.30    15.70    21.39    24.06     2.67    24.08   -50.78    24.04   324.27     0.00   -11.11    22.22   -44.44     0.00    22.22    15.80    47.06    25.35     0.27    44.61    20.00
AL042013 DORIAN          2013 072506   12    50.00     4.00    50.00     0.00     0.25     2.25     3.25    -6.75     1.25    49.75     5.00    15.80    25.50     1.93  1905.00    34.00   -53.87    66.33   -15.72     4.17   326.10    15.30     3.00   323.00    16.30   -10.67     0.00    21.31    21.34     0.00   -42.66   322.90   -33.33   -33.33    33.33   -22.22     0.00   -11.11    16.30    36.37    29.92     0.23    42.00    20.00
AL042013 DORIAN          2013 072512   12    50.00     4.00    45.00     0.00    -3.50     0.50     1.50    -2.50     0.50    48.50     0.00    16.10    25.57     3.67  1972.67    40.67   -53.77    63.67   -16.01     4.00   324.50    15.70     3.00   321.50    16.60   -21.31    -3.55   -14.18    17.74     0.00    -3.55   321.33   -22.22   -22.22    33.33     0.00     0.00   -33.33    16.60    34.56    23.33    -0.18    38.02    20.00
AL042013 DORIAN          2013 072518   12    50.00     4.00    50.00    -5.00    -3.25    -0.25     1.75    -1.25    -0.25    48.25     0.00    16.80    25.70     6.47  1971.33    26.67   -53.63    58.67   -17.07     4.17   322.90    16.00     4.00   319.50    17.20   -21.24   -15.94   -15.91    15.93   -15.93    15.92   319.45   -33.33   -30.55    36.11   -19.44    -8.33    -8.33    17.17    30.33    28.26     0.03    37.16    20.00
AL042013 DORIAN          2013 072600   12    50.00     4.00    45.00     0.00    -4.75    -0.75     0.25    -1.75     2.25    49.75     0.00    16.77    25.97    11.17  1840.67    36.33   -53.97    53.67   -17.71     3.67   321.30    16.40     4.00   317.60    17.20   -42.44   -37.14    15.91    15.93   -15.93   -15.92   317.55    11.11    13.89    25.00   -30.55    -8.33    13.89    17.17    27.87    26.11     0.05    34.08    20.00
AL042013 DORIAN          2013 072606   12    45.00     4.00    45.00    -5.00    -2.50    -0.50    -0.50    -2.50     3.50    42.50    -5.00    17.27    26.20    15.57  1754.67    32.33   -53.73    52.67   -18.14     3.50   319.30    16.90     3.00   315.50    17.60   -52.95   -45.89    38.82   -45.85     0.00     7.07   315.43     0.00     0.00    11.11    33.33     0.00   -44.44    17.60    29.80    20.54     0.27    32.07    20.00
AL042013 DORIAN          2013 072612   12    45.00     4.00    40.00    -5.00    -8.00     2.00     1.00    -1.00    -2.00    43.00     0.00    17.87    26.40    15.57  1689.00    24.33   -53.53    51.67   -18.56     3.67   317.20    17.30     3.00   313.60    18.10   -73.99   -52.84    10.55   -31.65     0.00    21.14   313.40   -33.33   -40.74    14.81    25.92     0.00   -40.74    18.17    31.25    28.29     0.04    36.73    20.00
AL042013 DORIAN          2013 072618   12    40.00     4.00    40.00    -5.00    -3.00     0.00    -1.00     2.00    -1.00    38.00    -5.00    17.90    26.67    15.20  1565.00    18.00   -53.73    49.00   -18.87     3.00   315.00    17.60     3.00   311.20    18.20   -42.24   -24.64    17.60    -3.51     0.00   -14.08   311.03   -22.22   -25.92   -14.81    40.74     0.00   -25.92    18.23    15.88    29.81     0.11    28.74    20.00
AL042013 DORIAN          2013 072700   12    35.00     4.00    30.00     5.00     3.25     0.25    -1.75     3.25    -1.75    31.75   -10.00    18.07    27.03    16.20  1453.67    -5.00   -54.37    46.33   -19.33     2.67   312.90    17.80     3.00   308.80    18.30    10.55    24.59    -7.02    14.03     0.00    -7.02   308.67     0.00   -37.03    -3.70    29.63     0.00   -25.92    18.63    23.81    28.93     0.31    31.85    20.00
AL052013 ERIN            2013 081506   12    30.00     4.00    35.00     0.00     1.50     2.50     1.50     2.50    -6.50    33.50     5.00    14.57    27.10     5.23   887.67    63.67   -53.47    73.67   -12.42     3.67   335.40    14.10     4.00   332.80    15.00     0.00     2.68     2.68   -29.52    -8.04    34.88   332.77   -33.33   -36.11    -2.78   -13.89    19.44    -2.78    15.02    38.62    35.06     0.03    46.67    20.00
AL052013 ERIN            2013 081512   12    35.00     4.00    40.00    -5.00    -2.00     3.00     3.00    -1.00    -5.00    37.00     5.00    14.70    27.10     5.87  1048.33    47.33   -53.30    73.33   -12.90     3.83   334.10    14.30     4.00   331.40    15.00     0.00     8.04   -13.43     8.05   -13.41    18.79   331.33    33.33    38.89   -27.77    -5.55    38.89    -5.55    14.95    27.01    34.06    -0.01    40.11    20.00
AL052013 ERIN            2013 081518   12    35.00     4.00    40.00    -5.00    -4.00     3.00     2.00    -2.00    -3.00    39.00     5.00    14.97    26.90     7.43  1160.33    47.33   -53.10    72.33   -12.40     3.50   332.80    14.70     4.00   330.40    15.60   -42.77   -37.43   -16.05    16.05   -26.75    26.75   330.35    33.33    33.33     0.00   -11.11    11.11     0.00    15.60    16.46    33.48     0.10    30.81    20.00
AL052013 ERIN            2013 081600   12    35.00     4.00    35.00     0.00    -2.75     0.25    -0.75     3.25    -2.75    37.75     0.00    15.70    26.37     4.63  1317.67    38.67   -53.13    70.00   -11.87     4.83   331.40    15.30     4.00   328.90    16.30   -31.97   -31.96   -21.31    21.32   -21.31    21.30   328.90    22.22     5.56    -5.55   -16.66     5.56    16.67    16.45    29.32    28.29     0.36    36.18    20.00
AL052013 ERIN            2013 081606   12    35.00     4.00    35.00     0.00    -0.75     0.25     0.25     1.25    -1.75    35.75     0.00    16.57    25.77     5.03  1468.33    15.00   -53.00    66.33   -11.50     5.67   330.00    15.90     4.00   327.60    17.30   -31.82   -31.81   -21.21    52.97   -21.20   -10.60   327.60     0.00   -16.67   -27.77    16.66     5.55     5.55    17.45    31.37    36.85     0.12    42.00    20.00
AL052013 ERIN            2013 081612   12    35.00     4.00    30.00    10.00     5.75    -0.25     1.75     0.75    -2.25    34.25     0.00    17.27    25.67     6.23  1657.00    13.33   -52.80    64.67   -11.78     6.50   328.60    16.50     4.00   326.00    17.90    21.14    21.13   -31.72    52.77   -10.56   -10.57   326.00    11.11    -2.78   -36.11    41.66     8.33   -13.89    18.02    53.73    36.31     0.44    57.45    20.00
AL052013 ERIN            2013 081618   12    30.00     4.00    30.00    10.00    10.75    -2.25    -1.25     3.75    -0.25    29.25    -5.00    18.00    25.60    10.00  1786.33     6.33   -52.73    63.33   -11.10     5.83   327.30    17.30     4.00   325.00    18.80    31.55    39.43     7.89    28.89   -13.14   -23.66   324.92     0.00    -5.56   -16.67    27.77     5.55   -16.67    18.85    48.85    46.09     0.40    62.81    20.00
AL052013 ERIN            2013 081700   12    35.00     4.00    35.00     0.00    -0.75    -0.75     1.25     1.25    -1.75    35.75     5.00    18.80    25.53    14.10  1900.00    13.33   -53.00    59.67   -10.42     6.00   326.20    18.00     4.00   323.90    19.50    62.82    62.80    10.47    20.93   -31.40     0.00   323.90    11.11     2.78     2.78    13.89     2.78   -19.44    19.58    48.81    63.68     0.26    63.77    20.00
AL052013 ERIN            2013 081706   12    35.00     4.00    35.00     0.00    -1.75    -1.75     0.25     2.25    -0.75    36.75     5.00    19.10    25.23    11.93  2005.67    20.67   -52.80    57.00    -9.77     5.00   325.30    18.80     4.00   322.90    19.70    93.96    73.02    10.43    10.45   -10.46   -10.45   323.10    66.66    38.88    49.99    -5.56   -38.89    -5.56    19.95    45.04    39.30     0.62    51.84    20.00
AL052013 ERIN            2013 081712   12    35.00     4.00    35.00     0.00     2.25    -0.75     0.25     3.25    -2.75    32.75     0.00    19.87    25.23    13.13  2009.33    25.33   -52.60    53.33    -8.62     4.50   324.50    19.60     4.00   322.80    20.50     0.00    -5.21     5.20    15.62     5.21   -26.03   322.85    11.11    22.22    22.22   -11.11   -11.11     0.00    20.40    41.24    31.48    -0.07    46.40    20.00
AL062013 FERNAND         2013 082600   12    45.00     4.00    35.00    -5.00    -8.25    -2.25    -1.25     0.75     2.75    38.25    15.00    19.37    28.63     6.33   -29.00    61.67   -52.67    78.00    -7.07     2.50   264.10    19.20     3.00   262.70    19.70     0.00    48.72    38.29    27.81     0.00   -66.26   262.23    44.44    18.52     7.41    51.85     0.00   -59.25    19.93    15.49    41.30     0.31    39.80    19.00
AL072013 GABRIELL        2013 090500   12    35.00     4.00    40.00   -10.00    -9.25     3.75     3.75    -3.25    -4.25    39.25    10.00    17.30    29.07     5.37    77.67    50.33   -53.17    60.33    -4.77     5.83   293.70    16.70     3.00   292.60    17.80   -31.77   -10.59   -10.58    42.27     0.00   -31.73   292.40   -44.44   -48.14   -25.92    29.63     0.00    -3.70    17.83    30.41    35.24    -0.26    39.61    20.00
AL072013 GABRIELL        2013 091012   12    35.00     4.00    50.00     0.00    11.75     1.75     0.75    -1.25    -1.25    38.25     5.00    31.00    28.17    20.10  1128.67     1.00   -54.07    47.67    -0.43     9.00   295.20    30.10     3.00   295.10    31.90     0.00    -6.28    22.00   -34.55     0.00    12.56   295.17     0.00    -7.41    -7.41     3.70     0.00     3.70    31.97    40.33    41.17     0.27    49.44    20.00
AL072013 GABRIELL        2013 091018   12    45.00     4.00    55.00   -10.00    -2.25     1.75     3.75    -3.25    -2.25    47.25    10.00    31.87    28.03    20.70  1096.33   -25.00   -53.93    44.00    -0.70     7.67   295.30    31.10     4.00   295.00    32.60   -37.50   -25.80    30.45   -16.40   -44.53    30.44   294.88   -33.33   -22.22     0.00     0.00   -11.11    11.11    32.50    32.40    29.61    -0.01    38.61    20.00
AL072013 GABRIELL        2013 091100   12    50.00     4.00    50.00   -10.00   -10.00     1.00     2.00    -1.00    -2.00    50.00     5.00    32.50    27.97    23.40  1040.33   -24.33   -54.23    45.00    -1.55     6.33   295.10    31.90     4.00   294.70    32.80   -37.42   -25.72    30.32   -16.32   -44.29    30.37   294.58   -33.33   -41.66     2.78    13.89    13.89   -30.55    32.88    28.91    35.23     0.27    39.16    20.00
AL072013 GABRIELL        2013 091106   12    45.00     4.00    45.00   -10.00    -6.75     3.25     1.25    -2.75    -1.75    41.75    -5.00    32.77    27.87    19.83   981.33    -2.33   -54.37    46.00    -2.24     4.83   294.60    32.30     4.00   293.80    33.10     0.00     2.33    11.65    21.00   -53.64    20.99   293.78   -55.55   -33.33    11.11   -11.11     0.00     0.00    32.90    30.80    28.67     0.37    33.89    20.00
AL072013 GABRIELL        2013 091112   12    40.00     4.00    40.00   -10.00    -8.25    -0.25    -3.25     2.75     0.75    38.25   -10.00    32.87    27.80    20.73   942.33     1.00   -54.33    47.67    -2.66     3.50   294.30    32.50     4.00   293.50    33.10   -27.95   -27.97     0.00     9.32   -37.28    27.96   293.50   -22.22    -8.33     2.78    -8.33     2.78     2.78    32.97    29.80    25.04    -0.64    34.87    20.00
AL072013 GABRIELL        2013 091118   12    35.00     4.00    35.00    -5.00    -1.00     2.00    -1.00     0.00    -1.00    31.00   -10.00    32.93    27.77    21.03   895.00     1.33   -54.27    47.67    -2.66     3.83   293.80    32.60     4.00   292.90    33.20   -27.89   -16.27    11.61     2.32    -6.97    -6.97   292.77     0.00     0.00    11.11     0.00   -11.11     0.00    33.20    24.23    23.77    -0.25    29.79    20.00
AL072013 GABRIELL        2013 091200   12    30.00     4.00    30.00     5.00     7.25     0.25    -2.75     1.25     1.25    27.75   -10.00    33.40    27.63    15.90   825.00     4.33   -54.87    49.67    -2.64     5.33   293.20    32.90     4.00   292.40    33.70     0.00     9.25    18.48     0.00   -27.73     9.24   292.30   -11.11   -11.11    11.11   -11.11     0.00     0.00    33.70    16.80    42.72    -0.24    40.07    20.00
AL072013 GABRIELL        2013 091206   12    30.00     4.00    30.00     5.00     5.00     0.00    -2.00     3.00    -1.00    30.00    -5.00    33.97    27.77    12.10   772.67    12.00   -54.90    49.67    -1.12     7.83   292.60    33.20     4.00   292.10    34.40     0.00    16.09    25.26   -20.66   -11.47     6.89   291.92   -44.44   -30.55    -8.33    -8.33    13.89     2.78    34.28    30.22    51.47    -0.43    46.88    20.00
AL072013 GABRIELL        2013 091212   12    30.00     4.00    35.00     0.00     3.25     0.25    -0.75     2.25    -1.75    31.75     0.00    34.57    27.70    13.83   748.33    23.00   -54.97    50.33     0.12     9.67   292.40    33.60     4.00   292.10    35.00   -18.24   -15.95    11.38   -15.91   -25.00    29.55   292.07   -33.33   -38.88   -16.66     5.55     5.55     5.55    35.05    30.11    50.91    -0.48    51.42    20.00
AL072013 GABRIELL        2013 091218   12    35.00     4.00    35.00    -5.00    -8.50    -0.50    -0.50     1.50    -0.50    38.50     5.00    35.17    27.57    13.37   700.33    31.67   -55.07    52.00     1.74    11.67   292.10    34.00     2.00   292.30    36.30    17.95    17.94     0.00     0.00     0.00     0.00   292.30   -44.44   -61.10   -16.66     0.00     0.00    16.67    36.45    30.40    37.09     0.45    42.07    20.00
AL072013 GABRIELL        2013 091300   12    35.00     3.00    30.00     0.00    -7.33     0.67    -1.33     0.00     0.67    37.33     0.00    36.37    27.40    12.87   601.67    49.67   -55.70    53.67     3.21    14.83   291.90    34.70     2.00   293.20    38.00    17.54    26.33     8.74    -8.78     0.00     0.00   293.10   -33.33   -27.77    38.89   -38.88     0.00     0.00    37.95    28.97    65.63     0.37    60.99    20.00
AL092013 HUMBERTO        2013 090900   12    30.00     4.00    35.00     5.00     4.00     1.00    -1.00     4.00    -4.00    36.00     5.00    13.27    27.97    14.27   557.33    38.67   -53.97    80.00    -9.89     1.33   338.70    13.10     3.00   336.50    13.40   -10.81    -7.20   -18.02    25.21     0.00    -7.20   336.47    11.11     7.41   -25.92     7.41     0.00    18.52    13.43    44.86    48.66    -0.62    56.94    20.00
AL092013 HUMBERTO        2013 090906   12    35.00     4.00    45.00     0.00     1.50     1.50     1.50     1.50    -4.50    43.50    10.00    13.47    28.17    11.03   649.00    58.00   -53.63    80.67   -10.05     1.50   337.60    13.30     4.00   335.70    13.60   -32.39   -43.18   -10.80    21.59     0.00   -10.80   335.80    11.11    11.11   -11.11    22.22    11.11   -22.22    13.60    56.77    25.21    -0.18    54.99    20.00
AL092013 HUMBERTO        2013 090912   12    40.00     4.00    50.00     0.00     1.50     3.50     2.50    -2.50    -3.50    48.50    10.00    13.70    28.30    10.07   769.67    83.67   -53.30    79.33    -9.39     2.33   336.40    13.50     4.00   334.50    13.90     0.00    -5.39   -26.98    -5.39     5.39    26.98   334.55     0.00     5.55   -27.77    27.77    16.66   -16.67    13.85 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00
AL092013 HUMBERTO        2013 090918   12    45.00     3.00    55.00     0.00     1.00     4.00     3.00    -7.00     0.00    54.00    10.00    13.87    28.33     9.60   900.33    84.33   -53.23    76.67    -8.90     2.67   335.40    13.70     2.00   333.40    14.10    10.78   -16.16     0.00     0.00    16.14   -16.17   333.65     0.00   -16.66     0.00     0.00    49.99   -49.99    14.25    27.29    29.34     0.13    33.34    20.00
AL092013 HUMBERTO        2013 091000   12    50.00     4.00    60.00    -5.00    -3.50     1.50     1.50    -2.50    -0.50    58.50    10.00    14.10    28.27    10.03   966.67    73.00   -53.23    74.33    -7.27     3.33   334.50    13.90     3.00   332.90    14.40   -21.52   -21.52   -21.53     0.00     0.00    21.53   332.90   -11.11   -11.11   -22.22     0.00    44.44   -22.22    14.40    30.54    32.76     0.27    40.34    20.00
AL092013 HUMBERTO        2013 091006   12    55.00     4.00    65.00   -10.00    -9.50     1.50     1.50    -2.50    -0.50    64.50    10.00    14.60    28.17     7.20  1011.33    80.33   -52.97    73.33    -5.81     4.33   333.50    14.10     4.00   332.50    15.00   -42.96   -32.22   -21.48    10.73   -10.74    21.48   332.40   -33.33   -19.44    -8.33    25.00    -8.33    -8.33    14.88    42.58    12.01    -0.42    33.56    20.00
AL092013 HUMBERTO        2013 091012   12    55.00     4.00    65.00   -10.00    -6.50     2.50     1.50    -4.50     0.50    61.50     5.00    14.80    28.20     7.37  1118.00    67.67   -52.73    70.00    -4.99     5.00   332.70    14.30     4.00   331.50    15.30    21.44    26.81   -16.08    16.07    -5.36     5.36   331.45   -22.22   -16.66    -5.55    16.67   -16.66     5.56    15.25    39.74    22.88    -0.49    34.87    20.00
